filename,age,stdv,database
image_4797.jpg,21,4.026539,train
image_3532.jpg,21,5.26745,train
image_3720.jpg,28,3.569742,train
image_985.jpg,48,4.406435,train
image_963.jpg,17,3.427827,train
image_61.jpg,23,2.150779,train
image_1805.jpg,16,3.025098,train
image_1904.jpg,15,4.513245,train
image_2175.jpg,44,4.941895,train
image_1058.jpg,24,2.973254,train
image_2170.jpg,28,3.797042,train
image_3748.jpg,30,3.593358,train
image_4700.jpg,24,3.655133,train
image_2783.jpg,24,4.964765,train
image_4550.jpg,40,4.356183,train
image_3428.jpg,18,2.818616,train
image_4684.jpg,28,5.030573,train
image_2051.jpg,26,4.118484,train
image_129.jpg,24,4.380435,train
image_66.jpg,23,2.682774,train
image_3418.jpg,43,4.651869,train
image_4628.jpg,18,3.40196,train
image_252.jpg,29,3.426339,train
image_4386.jpg,14,1.09005,train
image_574.jpg,53,4.990964,train
image_1131.jpg,49,5.383516,train
image_2463.jpg,57,4.582143,train
image_2218.jpg,26,3.59786,train
image_4754.jpg,18,2.092534,train
image_530.jpg,54,3.645443,train
image_1656.jpg,24,3.395575,train
image_153.jpg,23,3.825265,train
image_4590.jpg,29,4.696938,train
image_4969.jpg,34,4.720596,train
image_959.jpg,17,3.361811,train
image_4270.jpg,17,3.479464,train
image_4718.jpg,20,3.499271,train
image_1306.jpg,28,3.526736,train
image_2261.jpg,33,4.019423,train
image_3593.jpg,34,4.088034,train
image_392.jpg,37,3.538462,train
image_2913.jpg,19,3.314268,train
image_4706.jpg,17,3.311236,train
image_4613.jpg,37,4.487637,train
image_4729.jpg,43,5.009083,train
image_1249.jpg,30,3.594923,train
image_4255.jpg,15,3.356383,train
image_3810.jpg,19,3.567562,train
image_2530.jpg,21,4.02027,train
image_4078.jpg,25,4.060763,train
image_3458.jpg,42,3.661716,train
image_342.jpg,35,2.749933,train
image_4207.jpg,17,3.395585,train
image_1960.jpg,51,4.584156,train
image_3559.jpg,28,3.538559,train
image_4518.jpg,19,3.534091,train
image_1838.jpg,25,4.022299,train
image_1325.jpg,27,3.335034,train
image_1418.jpg,48,3.763863,train
image_253.jpg,30,4.296769,train
image_4781.jpg,51,1.440968,train
image_3622.jpg,22,3.737944,train
image_2035.jpg,35,4.702508,train
image_915.jpg,41,4.376874,train
image_2588.jpg,22,3.801913,train
image_1323.jpg,28,2.61081,train
image_2797.jpg,19,4.13908,train
image_949.jpg,20,3.760171,train
image_3871.jpg,27,4.712749,train
image_2195.jpg,27,4.92275,train
image_903.jpg,26,3.245877,train
image_2615.jpg,20,4.052343,train
image_1029.jpg,41,5.541666,train
image_4114.jpg,26,4.881473,train
image_794.jpg,62,5.465329,train
image_2210.jpg,18,4.01123,train
image_2819.jpg,19,3.48425,train
image_3430.jpg,36,4.903606,train
image_2828.jpg,21,3.110241,train
image_3376.jpg,32,5.035959,train
image_4806.jpg,23,4.138706,train
image_4359.jpg,21,3.896437,train
image_1421.jpg,52,4.235662,train
image_2229.jpg,48,4.537345,train
image_3974.jpg,15,2.668792,train
image_4489.jpg,47,4.790902,train
image_671.jpg,28,4.939875,train
image_3093.jpg,25,5.624023,train
image_4873.jpg,23,3.359422,train
image_4104.jpg,19,2.767339,train
image_5004.jpg,20,1.878992,train
image_4022.jpg,23,4.527693,train
image_1458.jpg,45,2.197363,train
image_3899.jpg,33,3.879678,train
image_1278.jpg,43,4.529993,train
image_4853.jpg,37,4.216706,train
image_4901.jpg,23,4.105127,train
image_1815.jpg,28,4.086986,train
image_428.jpg,38,5.016808,train
image_3181.jpg,21,4.535781,train
image_5026.jpg,20,2.90899,train
image_942.jpg,11,3.48963,train
image_2312.jpg,56,4.244868,train
image_2315.jpg,24,4.661154,train
image_4580.jpg,33,3.577851,train
image_1123.jpg,24,4.49852,train
image_1730.jpg,25,4.133542,train
image_329.jpg,31,3.943478,train
image_3505.jpg,29,4.169422,train
image_4606.jpg,34,3.195781,train
image_2898.jpg,25,5.928818,train
image_3314.jpg,37,4.316028,train
image_1809.jpg,23,4.397595,train
image_2154.jpg,60,4.705216,train
image_4824.jpg,21,3.534091,train
image_2418.jpg,25,4.088102,train
image_564.jpg,51,4.0791,train
image_4577.jpg,17,2.934174,train
image_824.jpg,63,3.419402,train
image_553.jpg,42,4.21325,train
image_674.jpg,47,3.566822,train
image_1633.jpg,19,3.237127,train
image_316.jpg,62,4.268749,train
image_3757.jpg,24,3.855374,train
image_4664.jpg,18,2.524371,train
image_808.jpg,29,4.709301,train
image_408.jpg,30,4.359578,train
image_1380.jpg,37,2.546607,train
image_1930.jpg,15,2.352906,train
image_4597.jpg,29,5.413563,train
image_4213.jpg,20,3.380459,train
image_3776.jpg,21,3.061446,train
image_3365.jpg,22,3.981438,train
image_3342.jpg,36,5.562673,train
image_3894.jpg,28,4.030496,train
image_4447.jpg,56,3.472751,train
image_1907.jpg,12,1.709188,train
image_4570.jpg,19,2.913704,train
image_456.jpg,30,5.424158,train
image_926.jpg,26,3.270814,train
